site_no	date_time	tz_cd	dd	accuracy_cd	value	prec	remark
15N	14N	6S	2N	5S	16N	1S	1S
0214676115	20061002123000	EDT	2	1	65	2	
0214676115	20061002124500	EDT	2	1	67	2	
0214676115	20061002130000	EDT	2	1	67	2	
0214676115	20061002131500	EDT	2	1	67	2	
0214676115	20061002133000	EDT	2	1	67	2	
0214676115	20061002134500	EDT	2	1	66	2	
0214676115	20061002140000	EDT	2	1	67	2	
0214676115	20061002141500	EDT	2	1	69	2	
0214676115	20061002143000	EDT	2	1	72	2	
0214676115	20061002144500	EDT	2	1	74	2	
0214676115	20061002150000	EDT	2	1	77	2	
0214676115	20061002151500	EDT	2	1	78	2	
0214676115	20061002153000	EDT	2	1	80	2	
0214676115	20061002154500	EDT	2	1	83	2	
0214676115	20061002160000	EDT	2	1	84	2	
0214676115	20061002161500	EDT	2	1	84	2	
0214676115	20061002163000	EDT	2	1	86	2	
0214676115	20061002164500	EDT	2	1	86	2	
0214676115	20061002170000	EDT	2	1	86	2	
0214676115	20061002171500	EDT	2	1	86	2	
0214676115	20061002173000	EDT	2	1	85	2	
0214676115	20061002174500	EDT	2	1	86	2	
0214676115	20061002180000	EDT	2	1	85	2	
0214676115	20061002181500	EDT	2	1	85	2	
0214676115	20061002183000	EDT	2	1	85	2	
0214676115	20061002184500	EDT	2	1	85	2	
0214676115	20061002190000	EDT	2	1	84	2	
0214676115	20061002191500	EDT	2	1	84	2	
0214676115	20061002193000	EDT	2	1	84	2	
0214676115	20061002194500	EDT	2	1	84	2	
0214676115	20061002200000	EDT	2	1	84	2	
0214676115	20061002201500	EDT	2	1	84	2	
0214676115	20061002203000	EDT	2	1	84	2	
0214676115	20061002204500	EDT	2	1	84	2	
0214676115	20061002210000	EDT	2	1	84	2	
0214676115	20061002211500	EDT	2	1	84	2	
0214676115	20061002213000	EDT	2	1	84	2	
0214676115	20061002214500	EDT	2	1	84	2	
0214676115	20061002220000	EDT	2	1	84	2	
0214676115	20061002221500	EDT	2	1	84	2	
0214676115	20061002223000	EDT	2	1	83	2	
0214676115	20061002224500	EDT	2	1	83	2	
0214676115	20061002230000	EDT	2	1	83	2	
0214676115	20061002231500	EDT	2	1	83	2	
0214676115	20061002233000	EDT	2	1	83	2	
0214676115	20061002234500	EDT	2	1	83	2	
0214676115	20061003000000	EDT	2	1	83	2	
0214676115	20061003001500	EDT	2	1	83	2	
0214676115	20061003003000	EDT	2	1	84	2	
0214676115	20061003004500	EDT	2	1	84	2	
0214676115	20061003010000	EDT	2	1	84	2	
0214676115	20061003011500	EDT	2	1	86	2	
0214676115	20061003013000	EDT	2	1	85	2	
0214676115	20061003014500	EDT	2	1	84	2	
0214676115	20061003020000	EDT	2	1	84	2	
0214676115	20061003021500	EDT	2	1	82	2	
0214676115	20061003023000	EDT	2	1	81	2	
0214676115	20061003024500	EDT	2	1	81	2	
0214676115	20061003030000	EDT	2	1	82	2	
0214676115	20061003031500	EDT	2	1	84	2	
0214676115	20061003033000	EDT	2	1	84	2	
0214676115	20061003034500	EDT	2	1	84	2	
0214676115	20061003040000	EDT	2	1	84	2	
0214676115	20061003041500	EDT	2	1	82	2	
0214676115	20061003043000	EDT	2	1	81	2	
0214676115	20061003044500	EDT	2	1	82	2	
0214676115	20061003050000	EDT	2	1	82	2	
0214676115	20061003051500	EDT	2	1	83	2	
0214676115	20061003053000	EDT	2	1	84	2	
0214676115	20061003054500	EDT	2	1	83	2	
0214676115	20061003060000	EDT	2	1	82	2	
0214676115	20061003061500	EDT	2	1	80	2	
0214676115	20061003063000	EDT	2	1	77	2	
0214676115	20061003064500	EDT	2	1	77	2	
0214676115	20061003070000	EDT	2	1	75	2	
0214676115	20061003071500	EDT	2	1	75	2	
0214676115	20061003073000	EDT	2	1	76	2	
0214676115	20061003074500	EDT	2	1	76	2	
0214676115	20061003080000	EDT	2	1	77	2	
0214676115	20061003081500	EDT	2	1	77	2	
0214676115	20061003083000	EDT	2	1	78	2	
0214676115	20061003084500	EDT	2	1	78	2	
0214676115	20061003090000	EDT	2	1	78	2	
0214676115	20061003091500	EDT	2	1	78	2	
0214676115	20061003093000	EDT	2	1	79	2	
0214676115	20061003094500	EDT	2	1	79	2	
0214676115	20061003100000	EDT	2	1	78	2	
0214676115	20061003101500	EDT	2	1	77	2	
0214676115	20061003103000	EDT	2	1	74	2	
0214676115	20061003104500	EDT	2	1	72	2	
0214676115	20061003110000	EDT	2	1	69	2	
0214676115	20061003111500	EDT	2	1	67	2	
0214676115	20061003113000	EDT	2	1	67	2	
0214676115	20061003114500	EDT	2	1	67	2	
0214676115	20061003120000	EDT	2	1	69	2	
0214676115	20061003121500	EDT	2	1	70	2	
0214676115	20061003123000	EDT	2	1	71	2	
0214676115	20061003124500	EDT	2	1	72	2	
